# zone_by: areal
# zone_cuts: [7.5, 15.0, 30.0, 50.0]
seg_id,segment_label,direction,width_m,eventA,from_km_A,to_km_A,eventB,from_km_B,to_km_B,length_km,peak_km,peak_A,peak_B,peak_combined,areal_density,crowd_density,zone
F1,Friel to 10K Return (continuing),uni,3.0,10K,5.81,8.1,10K,5.81,8.1,2.29,5.81,2,2,4,1.33,0.44,green
F2,Friel to Station/Barker (shared path),uni,3.0,10K,5.81,8.1,Half,2.7,4.95,2.29,5.81,2,0,2,0.67,0.22,green
F3,Friel to Station/Barker (shared path),uni,3.0,10K,5.81,8.1,Full,16.33,18.59,2.29,5.81,2,0,2,0.67,0.22,green
F4,Friel to Station/Barker,uni,3.0,Half,2.7,4.95,Full,16.33,18.59,2.25,2.7,9,0,9,3.0,1.0,green
G1,Station/Barker to Queen Square (10K to Finish),uni,3.0,10K,8.1,10.0,10K,8.1,10.0,1.9,8.1,2,2,4,1.33,0.44,green
G2,Station/Barker to Queen Square (Half to Finish),uni,3.0,Half,19.35,21.1,Half,19.35,21.1,1.75,19.35,1,1,2,0.67,0.22,green
G3,Station/Barker to Queen Square (Full loop inbound),uni,3.0,Full,18.59,20.54,Full,18.59,20.54,1.95,18.59,3,3,6,2.0,0.67,green
G4,Station/Barker to Queen Square (Full final finish),uni,3.0,Full,40.5,42.2,Full,40.5,42.2,1.7,40.5,1,1,2,0.67,0.22,green
G5,Station/Barker to Queen Square (10K & Half finishes),uni,3.0,10K,8.1,10.0,Half,19.35,21.1,1.9,8.1,2,0,2,0.67,0.22,green
G6,Station/Barker to Queen Square (10K & Full final finish),uni,3.0,10K,8.1,10.0,Full,40.5,42.2,1.9,8.1,2,0,2,0.67,0.22,green
G7,Station/Barker to Queen Square (Half & Full final finish),uni,3.0,Half,19.35,21.1,Full,40.5,42.2,1.75,19.35,1,0,1,0.33,0.11,green
G8,Station/Barker to Queen Square (Half finish & Full loop inbound),uni,3.0,Half,19.35,21.1,Full,18.59,20.54,1.75,19.35,0,3,3,1.0,0.33,green
G9,Station/Barker to Queen Square (10K finish & Full loop inbound),uni,3.0,10K,8.1,10.0,Full,18.59,20.54,1.9,8.1,2,0,2,0.67,0.22,green
H1,Queen Square Loop (Full only),uni,3.0,Full,20.54,21.65,Full,20.54,21.65,1.11,20.54,2,2,4,1.33,0.44,green
H2,Queen Square to Station/Barker (Full returning vs 10K finish),bi,1.5,Full,21.65,23.26,10K,8.1,10.0,1.61,21.65,0,2,2,2.67,0.89,green
H3,Queen Square to Station/Barker (Full returning vs Half finish),bi,1.5,Full,21.65,23.26,Half,19.35,21.1,1.61,21.65,2,0,2,2.67,0.89,green
I1,Station/Barker to Bridge/Mill (Half outbound),uni,3.0,Half,4.95,10.84,Half,4.95,10.84,5.89,4.95,2,2,4,1.33,0.44,green
I2,Station/Barker to Bridge/Mill (Full outbound),uni,3.0,Full,23.26,29.06,Full,23.26,29.06,5.8,23.26,2,2,4,1.33,0.44,green
