seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,data_source,start_times,min_overlap_duration
F1,Friel to Station Rd.,Full,10K,368,618,parallel,16.35,18.65,5.8,8.1,3,171,122,"2562, 2598, 2608, ... (10 total)","1506, 1507, 1539, ... (10 total)",46.5,19.7,171,122,2111,293,1,0,8,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
F1,Friel to Station Rd.,Half,10K,912,618,parallel,2.7,5,5.8,8.1,3,694,451,"1663, 1766, 1795, ... (10 total)","1144, 1159, 1296, ... (10 total)",76.1,73,912,555,81423,1334,2,0.3,10,9,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
H1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,21.65,23.26,19.2,20.85,1.5,203,431,"2721, 2728, 2733, ... (10 total)","1663, 1766, 1795, ... (10 total)",55.2,47.3,203,431,2905,634,0,0.2,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
H1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,21.65,23.26,8.1,9.75,1.5,119,87,"2537, 2542, 2562, ... (10 total)","1539, 1553, 1559, ... (10 total)",32.3,14.1,119,87,632,206,0.5,0,5,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,0,0,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5,10.75,3,42,9,"2535, 2540, 2543, ... (10 total)","2521, 2522, 2523, ... (9 total)",11.4,1,42,9,335,51,0.1,0,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
J1,Bridge/Mill to Half Turn (Outbound),Full,Half,368,912,counterflow,29.01,31.64,10.75,13.43,1.5,147,209,"2542, 2562, 2592, ... (10 total)","2359, 2374, 2383, ... (10 total)",39.9,22.9,147,209,2041,356,0.9,0,13,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
J4,Half Turn to Bridge/Mill,Full,Half,368,912,counterflow,34.34,36.93,13.43,16.02,1.5,130,170,"2542, 2562, 2585, ... (10 total)","2359, 2374, 2383, ... (10 total)",35.3,18.6,130,170,1355,300,0.6,0,10,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
J5,Half Turn to Bridge/Mill (Slow Half),Full,Half,368,912,counterflow,34.34,36.93,10.75,13.43,1.5,45,24,"2535, 2540, 2543, ... (10 total)","2506, 2507, 2508, ... (10 total)",12.2,2.6,45,24,203,69,0.1,0,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
K1,Bridge/Mill to Station Rd,Full,Half,368,912,counterflow,37.12,40.57,16.02,19.47,3,180,244,"2542, 2562, 2585, ... (10 total)","2359, 2374, 2383, ... (10 total)",48.9,26.8,180,244,3105,424,1.1,0,8,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,200,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
L1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,18.65,20.3,19.2,20.85,1.5,0,0,,,0,0,0,0,3321,0,0,2.9,0,23,TRUE,FALSE,FALSE,FALSE,FALSE,0.28,0.38,SPATIAL_ONLY_NO_TEMPORAL,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
L1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,18.65,20.3,8.1,9.75,1.5,206,217,"2542, 2562, 2592, ... (10 total)","1389, 1395, 1396, ... (10 total)",56,35.1,206,217,1849,423,1,0,10,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
L1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,0,0,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.05,,150,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
M1,Trail/Aberdeen to Finish (Full to Loop),Full,Half,368,912,overtake,20.3,20.55,20.85,21.1,3,66,96,"2775, 2784, 2832, ... (10 total)","1618, 1638, 1639, ... (10 total)",17.9,10.5,66,96,468,162,0,0.1,0,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.2,,100,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
M1,Trail/Aberdeen to Finish (Full to Loop),Full,10K,368,618,overtake,20.3,20.55,9.75,10,3,124,141,"2542, 2562, 2585, ... (10 total)","1357, 1366, 1389, ... (10 total)",33.7,22.8,124,141,751,265,0.6,0,6,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.2,,100,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
M1,Trail/Aberdeen to Finish (Full to Loop),Half,10K,912,618,overtake,20.85,21.1,9.75,10,3,17,12,"1628, 1631, 1633, ... (10 total)","1598, 1602, 1603, ... (10 total)",1.9,1.9,17,12,55,29,0,0,4,0,TRUE,TRUE,TRUE,TRUE,TRUE,0,0.2,,100,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5
