segment_id,t_start,t_end,density_mean,density_mean_fresh,density_peak_fresh,abs_rel_err
A1,2025-09-18 08:28:00+00:00,2025-09-18 08:30:00+00:00,0.00019999999999999996,0.0006000000000000001,0.002,2.000000000000001
A1,2025-09-18 08:30:00+00:00,2025-09-18 08:32:00+00:00,0.001,0.001,0.002,0.0
A1,2025-09-18 08:32:00+00:00,2025-09-18 08:34:00+00:00,0.0004,0.001,0.002,1.5
A1,2025-09-18 08:34:00+00:00,2025-09-18 08:36:00+00:00,0.0,0.0004000000000000001,0.001,400000.00000000006
A1,2025-09-18 08:36:00+00:00,2025-09-18 08:38:00+00:00,0.001,0.00019999999999999996,0.001,0.8
A1,2025-09-18 08:38:00+00:00,2025-09-18 08:40:00+00:00,0.00039999999999999996,0.0002,0.001,0.49999999999999994
A1,2025-09-18 08:40:00+00:00,2025-09-18 08:42:00+00:00,0.0006,0.0002,0.001,0.6666666666666666
A1,2025-09-18 08:42:00+00:00,2025-09-18 08:44:00+00:00,0.0002,0.001,0.002,4.0
A1,2025-09-18 08:44:00+00:00,2025-09-18 08:46:00+00:00,0.0004000000000000001,0.0,0.0,1.0
A1,2025-09-18 08:46:00+00:00,2025-09-18 08:48:00+00:00,0.0005999999999999998,0.00019999999999999996,0.001,0.6666666666666666
A1,2025-09-18 08:48:00+00:00,2025-09-18 08:50:00+00:00,0.0002,0.0005999999999999998,0.002,1.9999999999999991
A1,2025-09-18 08:50:00+00:00,2025-09-18 08:52:00+00:00,0.0,0.0,0.0,0.0
A1,2025-09-18 08:52:00+00:00,2025-09-18 08:54:00+00:00,0.0008,0.0004000000000000001,0.001,0.49999999999999994
A1,2025-09-18 08:54:00+00:00,2025-09-18 08:56:00+00:00,0.00039999999999999996,0.0004000000000000001,0.001,2.710505431213761e-16
A1,2025-09-18 08:56:00+00:00,2025-09-18 08:58:00+00:00,0.0006000000000000001,0.0003999999999999999,0.001,0.33333333333333354
A1,2025-09-18 08:58:00+00:00,2025-09-18 09:00:00+00:00,0.0005999999999999998,0.0,0.0,1.0
A1,2025-09-18 09:00:00+00:00,2025-09-18 09:02:00+00:00,0.0009999999999999998,0.0006,0.002,0.3999999999999999
A1,2025-09-18 09:02:00+00:00,2025-09-18 09:04:00+00:00,0.00040000000000000013,0.0002,0.001,0.5000000000000001
A1,2025-09-18 09:04:00+00:00,2025-09-18 09:06:00+00:00,0.0,0.0006000000000000001,0.001,600000.0
A1,2025-09-18 09:06:00+00:00,2025-09-18 09:08:00+00:00,0.0,0.0005999999999999998,0.001,599999.9999999998
A1,2025-09-18 09:08:00+00:00,2025-09-18 09:10:00+00:00,0.0002,0.0009999999999999998,0.002,3.999999999999999
A1,2025-09-18 09:10:00+00:00,2025-09-18 09:12:00+00:00,0.00039999999999999996,0.001,0.004,1.5000000000000002
A1,2025-09-18 09:12:00+00:00,2025-09-18 09:14:00+00:00,0.0,0.0,0.0,0.0
A1,2025-09-18 09:14:00+00:00,2025-09-18 09:16:00+00:00,0.0004000000000000001,0.0006000000000000001,0.002,0.4999999999999999
A1,2025-09-18 09:16:00+00:00,2025-09-18 09:18:00+00:00,0.00039999999999999996,0.0006000000000000001,0.001,0.5000000000000002
