seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,7,15.53,true_pass,true_pass,15.45,15.6,4.9,5.05,1.5,0,0,0.0,0.0,33,38,1645,71,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,8,15.63,true_pass,true_pass,15.55,15.71,5.0,5.16,1.5,0,0,0.0,0.0,2,1,1759,3,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,9,15.73,true_pass,true_pass,15.65,15.81,5.1,5.26,1.5,0,0,0.0,0.0,2,1,1825,3,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,10,15.84,true_pass,true_pass,15.76,15.91,5.21,5.36,1.5,0,0,0.0,0.0,1,1,1879,2,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,11,15.94,true_pass,true_pass,15.86,16.02,5.31,5.47,1.5,0,0,0.0,0.0,0,0,1811,0,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,12,16.04,true_pass,true_pass,15.96,16.12,5.41,5.57,1.5,0,0,0.0,0.0,0,0,1998,0,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,13,16.15,true_pass,true_pass,16.07,16.22,5.52,5.67,1.5,0,0,0.0,0.0,0,0,2143,0,True
B2,10K Turn to Friel (Back),full,10k,368,618,overtake,14,16.25,true_pass,true_pass,16.17,16.32,5.62,5.77,1.5,0,0,0.0,0.0,0,0,2231,0,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,0,2.7,true_pass,true_pass,2.7,2.78,4.25,4.33,1.5,1,520,0.2,84.1,400,473,11350,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,1,2.8,true_pass,true_pass,2.73,2.88,4.28,4.43,1.5,1,531,0.2,85.9,506,534,24326,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,2,2.91,true_pass,true_pass,2.83,2.99,4.38,4.54,1.5,1,531,0.2,85.9,532,542,24795,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,3,3.01,true_pass,true_pass,2.93,3.09,4.48,4.64,1.5,1,531,0.2,85.9,549,546,24926,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,4,3.11,true_pass,true_pass,3.04,3.19,4.59,4.74,1.5,1,522,0.2,84.5,554,549,24997,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,5,3.22,true_pass,true_pass,3.14,3.3,4.69,4.85,1.5,1,492,0.2,79.6,564,554,25162,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,6,3.32,true_pass,true_pass,3.24,3.4,4.79,4.95,1.5,1,351,0.2,56.8,574,558,25593,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,7,3.42,true_pass,true_pass,3.35,3.5,4.9,5.05,1.5,1,0,0.2,0.0,574,558,25986,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,8,3.53,true_pass,true_pass,3.45,3.61,5.0,5.16,1.5,1,0,0.2,0.0,571,558,26151,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,9,3.63,true_pass,true_pass,3.55,3.71,5.1,5.26,1.5,1,0,0.2,0.0,562,558,26382,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,10,3.73,true_pass,true_pass,3.66,3.81,5.21,5.36,1.5,1,0,0.2,0.0,553,557,26640,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,11,3.84,true_pass,true_pass,3.76,3.92,5.31,5.47,1.5,0,0,0.0,0.0,540,552,26607,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,12,3.94,true_pass,true_pass,3.86,4.02,5.41,5.57,1.5,0,0,0.0,0.0,519,539,26849,618,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,13,4.04,true_pass,true_pass,3.97,4.12,5.52,5.67,1.5,0,0,0.0,0.0,497,502,26635,616,True
B3,10K Turn to Friel (Slow/Fast 10k),10k,10k,618,618,overtake,14,4.15,true_pass,true_pass,4.07,4.23,5.62,5.78,1.5,0,0,0.0,0.0,389,387,26361,590,True
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,0,4.25,true_pass,true_pass,4.25,4.3,13.96,14.01,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,1,4.35,true_pass,true_pass,4.3,4.4,14.01,14.11,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,2,4.46,true_pass,true_pass,4.41,4.51,14.12,14.22,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,3,4.56,true_pass,true_pass,4.51,4.61,14.22,14.32,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,4,4.66,true_pass,true_pass,4.61,4.71,14.32,14.42,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,5,4.76,true_pass,true_pass,4.71,4.81,14.42,14.52,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,6,4.86,true_pass,true_pass,4.81,4.91,14.52,14.62,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,7,4.96,true_pass,true_pass,4.91,5.01,14.62,14.72,1.5,0,0,0.0,0.0,0,0,0,0,False
C1,10K Turn to Royal (Full Out/Back),full,full,368,368,none,8,5.07,true_pass,true_pass,5.02,5.08,14.73,14.79,1.5,0,0,0.0,0.0,0,0,0,0,False
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,0,5.08,true_pass,true_pass,5.08,5.2,11.63,11.75,1.5,0,1,0.0,0.3,0,0,1,2,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,1,5.29,true_pass,true_pass,5.18,5.41,11.73,11.96,1.5,0,9,0.0,2.4,1,4,13,14,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,2,5.51,true_pass,true_pass,5.39,5.62,11.94,12.17,1.5,0,9,0.0,2.4,4,12,25,22,True
C2,Royal to Sunset at Claremont (Full Out/Back),full,full,368,368,none,3,5.72,true_pass,true_pass,5.6,5.84,12.15,12.39,1.5,0,5,0.0,1.4,5,22,50,27,True
