bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:16:00Z,2025-10-15T07:18:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:16:00Z,2025-10-15T07:18:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:16:00Z,2025-10-15T07:18:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:16:00Z,2025-10-15T07:18:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:16:00Z,2025-10-15T07:18:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:18:00Z,2025-10-15T07:20:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:18:00Z,2025-10-15T07:20:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:18:00Z,2025-10-15T07:20:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:18:00Z,2025-10-15T07:20:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:18:00Z,2025-10-15T07:20:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:20:00Z,2025-10-15T07:22:00Z,0.7490,10.0854,D,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:20:00Z,2025-10-15T07:22:00Z,0.1980,3.1750,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:20:00Z,2025-10-15T07:22:00Z,0.0030,0.0724,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:20:00Z,2025-10-15T07:22:00Z,0.0000,0.0000,A,0.2000,1.0.0,
