seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1,Start to Queen/Regent,Full,Half,368,912,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Full,10K,368,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Half,10K,912,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,0,0,0,0,0.0,0.0,0,0,True,False,False,False,False,0.0,0.06,SPATIAL_ONLY_NO_TEMPORAL,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,Half,368,912,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,10K,368,618,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Half,10K,912,618,overtake,0.9,1.8,0.9,1.8,5.0,34,1,"1619, 1621, 1624, ... (10 total)",1529,3.7,0.2,34,1,126,35,0.0,0.0,1,0,True,True,True,True,True,0.42,0.53,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,Half,368,912,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,10K,368,618,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Half,10K,912,618,overtake,1.8,2.7,1.8,2.7,5.0,128,13,"1630, 1636, 1650, ... (10 total)","1529, 1606, 1608, ... (10 total)",14.0,2.1,128,13,1664,141,0.7,0.0,12,0,True,True,True,True,True,0.0,0.06,,100.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B1,Friel to 10K Turn,Full,10K,368,618,overtake,2.7,4.25,2.7,4.25,1.5,11,16,"2884, 2888, 2889, ... (10 total)","1000, 1001, 1003, ... (10 total)",3.0,2.6,11,16,98,27,0.0,0.1,0,13,True,True,True,True,True,0.49,0.59,,150.0,2025-10-14 20:29:16 UTC,v1.6.41,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
