segment_id,t_start,t_end,density_mean_canon,density_peak,n_bins
A1,2025-10-14 07:00:00+00:00,2025-10-14 07:02:00+00:00,0.0398,0.199,5.0
A1,2025-10-14 07:02:00+00:00,2025-10-14 07:04:00+00:00,0.06720000000000001,0.182,5.0
A1,2025-10-14 07:04:00+00:00,2025-10-14 07:06:00+00:00,0.07359999999999998,0.157,5.0
A1,2025-10-14 07:06:00+00:00,2025-10-14 07:08:00+00:00,0.0736,0.136,5.0
A1,2025-10-14 07:08:00+00:00,2025-10-14 07:10:00+00:00,0.0574,0.112,5.0
A1,2025-10-14 07:10:00+00:00,2025-10-14 07:12:00+00:00,0.034199999999999994,0.075,5.0
A1,2025-10-14 07:12:00+00:00,2025-10-14 07:14:00+00:00,0.017400000000000002,0.057,5.0
A1,2025-10-14 07:14:00+00:00,2025-10-14 07:16:00+00:00,0.0078000000000000005,0.021,5.0
A1,2025-10-14 07:16:00+00:00,2025-10-14 07:18:00+00:00,0.0028,0.013000000000000001,5.0
A1,2025-10-14 07:18:00+00:00,2025-10-14 07:20:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:20:00+00:00,2025-10-14 07:22:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:22:00+00:00,2025-10-14 07:24:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:24:00+00:00,2025-10-14 07:26:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:26:00+00:00,2025-10-14 07:28:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:28:00+00:00,2025-10-14 07:30:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:30:00+00:00,2025-10-14 07:32:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:32:00+00:00,2025-10-14 07:34:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:34:00+00:00,2025-10-14 07:36:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:36:00+00:00,2025-10-14 07:38:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:38:00+00:00,2025-10-14 07:40:00+00:00,0.0,0.0,5.0
A1,2025-10-14 07:40:00+00:00,2025-10-14 07:42:00+00:00,0.0666,0.333,5.0
A1,2025-10-14 07:42:00+00:00,2025-10-14 07:44:00+00:00,0.12340000000000001,0.41600000000000004,5.0
