seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,zone_index,cp_km,cp_type,zone_source,zone_start_km_a,zone_end_km_a,zone_start_km_b,zone_end_km_b,width_m,overtaking_a,overtaking_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,has_convergence
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,7,4.01,true_pass,true_pass,3.9,4.12,1.52,1.78,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,8,4.21,true_pass,true_pass,4.1,4.32,1.76,2.02,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,9,4.42,true_pass,true_pass,4.3,4.53,1.99,2.25,100.0,0,0,0.0,0.0,0,0,0,0,False
N2b,5K Elite Lap 2 overtake Lap 1,elite,elite,39,39,overtake,10,4.62,true_pass,true_pass,4.51,4.73,2.23,2.49,100.0,0,0,0.0,0.0,0,0,0,0,False
N3a,5K Elite Finish (Queen/York to Finish),elite,elite,39,39,overtake,0,4.81,true_pass,true_pass,4.81,4.86,4.81,4.86,100.0,0,0,0.0,0.0,39,39,81,39,False
N3a,5K Elite Finish (Queen/York to Finish),elite,elite,39,39,overtake,1,4.92,true_pass,true_pass,4.87,4.97,4.87,4.97,100.0,0,0,0.0,0.0,39,39,163,39,False
N3b,5K Elite Finish ovetake Lap 2,elite,elite,39,39,overtake,0,4.81,true_pass,true_pass,4.81,4.86,2.58,3.17,100.0,0,0,0.0,0.0,0,0,0,0,False
N3b,5K Elite Finish ovetake Lap 2,elite,elite,39,39,overtake,1,4.91,true_pass,true_pass,4.86,4.96,3.17,4.34,100.0,0,0,0.0,0.0,0,0,349,0,False
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,0,0.0,true_pass,true_pass,0.0,0.13,0.0,0.13,5.0,525,525,95.5,95.5,550,550,498796,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,1,0.21,true_pass,true_pass,0.08,0.34,0.08,0.34,5.0,526,526,95.6,95.6,550,550,573650,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,2,0.41,true_pass,true_pass,0.28,0.54,0.28,0.54,5.0,526,526,95.6,95.6,550,550,497406,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,3,0.61,true_pass,true_pass,0.48,0.74,0.48,0.74,5.0,526,526,95.6,95.6,550,550,415368,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,4,0.81,true_pass,true_pass,0.68,0.94,0.68,0.94,5.0,526,526,95.6,95.6,550,550,349688,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,5,1.01,true_pass,true_pass,0.88,1.14,0.88,1.14,5.0,526,526,95.6,95.6,550,550,300188,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,6,1.21,true_pass,true_pass,1.08,1.34,1.08,1.34,5.0,524,524,95.3,95.3,550,550,262384,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,7,1.41,true_pass,true_pass,1.28,1.54,1.28,1.54,5.0,522,522,94.9,94.9,550,550,232714,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,8,1.61,true_pass,true_pass,1.48,1.74,1.48,1.74,5.0,519,519,94.4,94.4,550,550,208400,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,9,1.81,true_pass,true_pass,1.68,1.94,1.68,1.94,5.0,516,516,93.8,93.8,550,550,188880,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,10,2.02,true_pass,true_pass,1.89,2.15,1.89,2.15,5.0,514,514,93.5,93.5,550,550,171788,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,11,2.24,true_pass,true_pass,2.11,2.37,2.11,2.37,5.0,513,513,93.3,93.3,550,550,156796,550,True
O1,5K Open Lap 1 (Start to Queen/York),open,open,550,550,overtake,12,2.46,true_pass,true_pass,2.33,2.58,2.33,2.58,5.0,513,513,93.3,93.3,550,550,140040,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,0,2.58,true_pass,true_pass,2.58,2.69,2.58,2.69,100.0,323,323,58.7,58.7,550,550,70918,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,1,2.8,true_pass,true_pass,2.69,2.91,2.69,2.91,100.0,323,323,58.7,58.7,550,550,135706,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,2,3.02,true_pass,true_pass,2.91,3.13,2.91,3.13,100.0,323,323,58.7,58.7,550,550,127018,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,3,3.24,true_pass,true_pass,3.13,3.35,3.13,3.35,100.0,323,323,58.7,58.7,550,550,119296,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,4,3.46,true_pass,true_pass,3.35,3.57,3.35,3.57,100.0,323,323,58.7,58.7,550,550,112726,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,5,3.68,true_pass,true_pass,3.57,3.79,3.57,3.79,100.0,323,323,58.7,58.7,550,550,106776,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,6,3.9,true_pass,true_pass,3.79,4.01,3.79,4.01,100.0,323,323,58.7,58.7,550,550,101368,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,7,4.12,true_pass,true_pass,4.01,4.23,4.01,4.23,100.0,323,323,58.7,58.7,550,550,96464,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,8,4.34,true_pass,true_pass,4.23,4.45,4.23,4.45,100.0,323,323,58.7,58.7,550,550,91926,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,9,4.56,true_pass,true_pass,4.45,4.67,4.45,4.67,100.0,323,323,58.7,58.7,550,550,87842,550,True
O2a,5K Open Lap 2 (Queen/York to Queen/York),open,open,550,550,overtake,10,4.78,true_pass,true_pass,4.67,4.81,4.67,4.81,100.0,323,323,58.7,58.7,550,550,53726,550,True
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,0,2.58,true_pass,true_pass,2.58,2.69,0.0,0.13,100.0,0,0,0.0,0.0,0,0,0,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,1,2.78,true_pass,true_pass,2.67,2.89,0.11,0.36,100.0,0,0,0.0,0.0,0,0,0,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,2,2.99,true_pass,true_pass,2.87,3.1,0.34,0.6,100.0,0,0,0.0,0.0,0,0,0,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,3,3.19,true_pass,true_pass,3.08,3.3,0.58,0.83,100.0,0,0,0.0,0.0,0,0,0,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,4,3.39,true_pass,true_pass,3.28,3.5,0.81,1.07,100.0,0,0,0.0,0.0,0,0,112,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,5,3.59,true_pass,true_pass,3.48,3.71,1.05,1.3,100.0,0,0,0.0,0.0,0,0,895,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,6,3.81,true_pass,true_pass,3.69,3.92,1.29,1.55,100.0,0,0,0.0,0.0,0,0,2688,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,7,4.01,true_pass,true_pass,3.9,4.12,1.52,1.78,100.0,0,0,0.0,0.0,0,0,5117,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,8,4.21,true_pass,true_pass,4.1,4.32,1.76,2.02,100.0,0,0,0.0,0.0,0,0,7928,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,9,4.42,true_pass,true_pass,4.3,4.53,1.99,2.25,100.0,0,0,0.0,0.0,0,0,10915,0,False
O2b,5K Open Lap 2 overtake Lap 1,open,open,550,550,overtake,10,4.62,true_pass,true_pass,4.51,4.73,2.23,2.49,100.0,0,0,0.0,0.0,0,0,14339,0,False
O3a,5K Open Finish (Queen/York to Finish),open,open,550,550,overtake,0,4.81,true_pass,true_pass,4.81,4.86,4.81,4.86,100.0,25,25,4.5,4.5,550,550,8163,550,True
O3a,5K Open Finish (Queen/York to Finish),open,open,550,550,overtake,1,4.92,true_pass,true_pass,4.87,4.97,4.87,4.97,100.0,25,25,4.5,4.5,550,550,17369,550,True
O3b,5K Open Finish ovetake Lap 2,open,open,550,550,overtake,0,4.81,true_pass,true_pass,4.81,4.86,2.58,3.17,100.0,125,0,22.7,0.0,183,276,24673,469,True
O3b,5K Open Finish ovetake Lap 2,open,open,550,550,overtake,1,4.91,true_pass,true_pass,4.86,4.96,3.17,4.34,100.0,0,0,0.0,0.0,0,0,90288,0,True
