seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
H1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,21.65,23.26,8.1,9.75,1.5,5,5,"2530, 2541, 2542, ... (10 total)",,1.4,0.8,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,5,5,"1618, 1620, 1621, ... (8 total)",,0.5,0.8,5,5,5,100,0.0,0.0,0,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5.0,10.75,3.0,5,5,"2530, 2532, 2535, ... (10 total)",,1.4,0.5,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J1,Bridge/Mill to Half Turn (Outbound),Full,Half,368,912,counterflow,29.01,31.64,10.75,13.43,1.5,5,5,"2530, 2542, 2550, ... (10 total)",,1.4,0.5,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J4,Half Turn to Bridge/Mill,Full,Half,368,912,counterflow,34.34,36.93,13.43,16.02,1.5,5,5,"2530, 2542, 2550, ... (10 total)",,1.4,0.5,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J5,Half Turn to Bridge/Mill (Slow Half),Full,Half,368,912,counterflow,34.34,36.93,10.75,13.43,1.5,5,5,"2530, 2532, 2542, ... (10 total)",,1.4,0.5,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
K1,Bridge/Mill to Station Rd,Full,Half,368,912,counterflow,37.12,40.57,16.02,19.47,3.0,5,5,"2530, 2542, 2550, ... (10 total)",,1.4,0.5,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,18.65,20.3,19.2,20.85,1.5,5,5,,"1640, 1655, 1682, ... (10 total)",1.4,0.5,5,5,5,100,0.0,1.0,0,1,True,True,True,True,True,0.28,0.38,,150.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,18.65,20.3,8.1,9.75,1.5,5,5,"2530, 2542, 2550, ... (10 total)",,1.4,0.8,5,5,5,100,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,5,5,"1618, 1620, 1621, ... (8 total)",,0.5,0.8,5,5,5,100,0.0,0.0,0,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,Half,368,912,overtake,20.3,20.55,20.85,21.1,3.0,5,5,,"1637, 1640, 1655, ... (10 total)",1.4,0.5,5,5,5,100,0.0,0.0,0,0,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,10K,368,618,overtake,20.3,20.55,9.75,10.0,3.0,5,5,"2530, 2542, 2550, ... (10 total)",,1.4,0.8,5,5,5,100,0.0,0.0,0,0,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Half,10K,912,618,overtake,20.85,21.1,9.75,10.0,3.0,5,5,"1628, 1632, 1643, ... (10 total)",,0.5,0.8,5,5,5,100,0.0,0.0,0,0,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 08:57:36,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
