seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,overtaking_load_a,overtaking_load_b,max_overtaking_load_a,max_overtaking_load_b,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
A1,Start to Queen/Regent,Full,Half,368,912,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Full,10K,368,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A1,Start to Queen/Regent,Half,10K,912,618,overtake,0.0,0.9,0.0,0.9,5.0,0,0,,,0.0,0.0,0,0,0,1530,0.0,0.0,0,0,True,False,False,False,False,0.0,0.06,SPATIAL_ONLY_NO_TEMPORAL,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,Half,368,912,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Full,10K,368,618,overtake,0.9,1.8,0.9,1.8,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A2,Queen/Regent to WSB mid-point,Half,10K,912,618,overtake,0.9,1.8,0.9,1.8,5.0,34,0,"1625, 1629, 1631, ... (10 total)",,3.7,0.0,34,0,34,1530,1.0,0.0,1,0,True,True,True,True,True,0.42,0.53,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,Half,368,912,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Full,10K,368,618,overtake,1.8,2.7,1.8,2.7,5.0,0,0,,,0.0,0.0,,,0,0,0.0,0.0,0,0,False,False,False,False,False,,,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
A3,WSB mid-point to Friel,Half,10K,912,618,overtake,1.8,2.7,1.8,2.7,5.0,129,0,"1634, 1667, 1669, ... (10 total)",,14.1,0.0,129,0,129,1530,1.0,0.0,1,0,True,True,True,True,True,0.0,0.06,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B1,Friel to 10K Turn,Full,10K,368,618,overtake,2.7,4.25,2.7,4.25,1.5,0,16,,"1001, 1002, 1005, ... (10 total)",0.0,2.6,0,16,16,986,0.0,1.0,0,1,True,True,True,True,True,0.49,0.59,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B2,10K Turn to Friel,Full,10K,368,618,overtake,14.8,16.35,4.25,5.8,1.5,65,0,"2530, 2540, 2546, ... (10 total)",,17.7,0.0,65,0,65,986,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
B3,10K Turn to Friel,Full,10K,368,618,overtake,2.7,4.25,4.25,5.8,1.5,0,0,,,0.0,0.0,0,0,0,986,0.0,0.0,0,0,True,False,False,False,False,0.29,0.39,SPATIAL_ONLY_NO_TEMPORAL,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,Half,368,912,parallel,16.35,18.65,2.7,5.0,3.0,45,0,"2530, 2539, 2546, ... (10 total)",,12.2,0.0,45,0,45,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Full,10K,368,618,parallel,16.35,18.65,5.8,8.1,3.0,124,0,"2546, 2570, 2618, ... (10 total)",,33.7,0.0,124,0,124,986,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
F1,Friel to Station Rd.,Half,10K,912,618,parallel,2.7,5.0,5.8,8.1,3.0,555,80,"1669, 1698, 1735, ... (10 total)","1443, 1445, 1456, ... (10 total)",60.9,12.9,555,80,635,1530,1.0,1.0,1,1,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,21.65,23.26,19.2,20.85,1.5,0,150,,"1634, 1657, 1667, ... (10 total)",0.0,16.4,0,150,150,1280,0.0,1.0,0,1,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,21.65,23.26,8.1,9.75,1.5,91,0,"2536, 2545, 2546, ... (10 total)",,24.7,0.0,91,0,91,986,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,8,0,"1618, 1620, 1621, ... (8 total)",,0.9,0.0,8,0,8,1530,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5.0,10.75,3.0,33,0,"2530, 2539, 2540, ... (10 total)",,9.0,0.0,33,0,33,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J1,Bridge/Mill to Half Turn (Outbound),Full,Half,368,912,counterflow,29.01,31.64,10.75,13.43,1.5,112,0,"2536, 2546, 2570, ... (10 total)",,30.4,0.0,112,0,112,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J4,Half Turn to Bridge/Mill,Full,Half,368,912,counterflow,34.34,36.93,13.43,16.02,1.5,97,0,"2536, 2546, 2570, ... (10 total)",,26.4,0.0,97,0,97,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J5,Half Turn to Bridge/Mill (Slow Half),Full,Half,368,912,counterflow,34.34,36.93,10.75,13.43,1.5,29,0,"2530, 2540, 2575, ... (10 total)",,7.9,0.0,29,0,29,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
K1,Bridge/Mill to Station Rd,Full,Half,368,912,counterflow,37.12,40.57,16.02,19.47,3.0,136,0,"2546, 2570, 2575, ... (10 total)",,37.0,0.0,136,0,136,1280,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,200.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,18.65,20.3,19.2,20.85,1.5,0,626,,"1657, 1667, 1728, ... (10 total)",0.0,68.6,0,626,626,1280,0.0,1.0,0,1,True,True,True,True,True,0.28,0.38,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,18.65,20.3,8.1,9.75,1.5,158,0,"2546, 2570, 2575, ... (10 total)",,42.9,0.0,158,0,158,986,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,8,0,"1618, 1620, 1621, ... (8 total)",,0.9,0.0,8,0,8,1530,1.0,0.0,1,0,True,True,True,True,True,0.0,0.05,,150.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,Half,368,912,overtake,20.3,20.55,20.85,21.1,3.0,0,96,,"1657, 1700, 1793, ... (10 total)",0.0,10.5,0,96,96,1280,0.0,1.0,0,1,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,10K,368,618,overtake,20.3,20.55,9.75,10.0,3.0,124,0,"2546, 2570, 2618, ... (10 total)",,33.7,0.0,124,0,124,986,1.0,0.0,1,0,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Half,10K,912,618,overtake,20.85,21.1,9.75,10.0,3.0,22,0,"1628, 1631, 1632, ... (10 total)",,2.4,0.0,22,0,22,1530,1.0,0.0,1,0,True,True,True,True,True,0.0,0.2,,100.0,2025-09-15 09:35:30,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
