loc_id,loc_label,loc_type,loc_direction,lat,lon,proxy_loc_id,seg_id,day,zone,full,half,10k,elite,open,buffer,interval,fpf_count,awp_count,yssr_count,vol_count,caf_count,sja_count,fdsa_count,ofc_count,notes
23,Walking Bridge on South Side,course,Runners crossing both ways,45.956436,-66.632974,,"""H1,L1,L2""",sun,1,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,"Direct runners onto the walking bridge and not off trail; returning runners to head straight to Queen Sq. Note: Walking bridge will be open, inform groups coming onto bridge of event in progress."
24,Queen Street and St. John Street,course,Barricade closing Queen Street,45.960146,-66.636466,,A1,sun,1,y,y,y,n,n,10,5,0,0,2,0,0,0,0,0,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
25,Crowne Plaza Parking Lot Entrance,course,Barricade closing Queen Street,45.960715,-66.637496,,A1,sun,1,y,y,y,n,n,10,5,0,0,1,0,0,0,0,0,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
26,Hilton Garden Inn Parking Entrance,course,Barricade closing Queen Street,45.96069,-66.637867,,A1,sun,1,y,y,y,n,n,10,5,0,0,1,0,0,0,0,0,"Queen Street Closed, no traffic allowed until last runner half marathon runner clears."
27,Victoria Traffic Circle,traffic,Northbound Traffic via Ste Anne Pte & WSB Ramp),45.964288,-66.651358,38,,sun,1,n,n,n,n,n,10,5,1,1,0,0,0,0,0,0,Close access to St. Anne's Point from the roundabout.  Access closed until all runners off the bridge and CoF Traffic give all clear with traffic cones and signage. 
28,Queen at Smythe Street,traffic,Northbound Traffic via Ste Anne Pte & WSB Ramp) **NEW 2/13**,45.965374,-66.650057,38,,sun,1,n,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Close access to St. Anne's Point from Queen St.  Redirect runners around the turn loop to Queen and southbound on Northumberland St. Access closed until all runners off the bridge and CoF Traffic gives all clear with traffic cones and signage. 
29,Westmorland and Queen,traffic,Northside Access,45.963962,-66.645133,38,,sun,1,n,n,n,n,n,10,5,1,1,0,0,0,0,0,0,Direct traffic on to the Westmorland Street Bridge during the partial closure.
30,Southside of Bridge,traffic,Northbound Traffic,45.963908,-66.645395,38,,sun,1,n,n,n,n,n,10,5,1,0,0,0,0,0,0,0,Pat Olsen: Will have a police offer on each side of the bridge starting at 6am. *Note: confirm with Pat if 06:30 is fine -- 1hr before*
31,St. Anne's Point and Queen Street,course,Northside Access,45.961142,-66.638526,,A2,sun,1,y,y,y,n,n,10,5,0,2,0,0,0,0,0,0,1 TCP Truck Required. Block traffic from going on to St. Anne's Point from Queen & St John Streets (which are already barricaded). 
32,Regent and Queen,course,Northside Access,45.961102,-66.63874,,A2,sun,1,y,y,y,n,n,10,5,1,1,0,0,0,0,0,0,1 TCP Truck Required. Block traffic from going on to St. Anne's Point and right onto Queen Street. All traffic must turn left on Queen St. heading West.
33,Buffer Lane (WSB Bridge),course,Northbound Traffic,45.968345,-66.642756,,"""A2,A3""",sun,1,y,y,y,n,n,10,5,1,4,0,0,0,0,0,0,2 TCP Trucks Required in Buffer. Partial Closure in Place by 07:00 a.m. Estimating last runner will cross bridge by 8:30 a.m. 45-mins for CoF Traffic to pick up candles. Bridge will reopen no later than 9:30am.
34,Westmorland Street Bridge and Cliffe Street Off Ramp,course,Northbound Traffic,45.970217,-66.64178,,A3,sun,1,y,y,y,n,n,10,5,0,1,0,0,0,0,0,0,Ramp before Union St. Close off ramp to prevent runners from taking the wrong way. Lift resource after last runner; ramp remains inaccessible until bridge re-opened by FPF and City Traffic
35,Northside of Bridge ,traffic,Southbound Traffic,45.976588,-66.638132,38,,sun,1,n,n,n,n,n,10,5,1,0,0,0,0,0,0,0,Estimating last runner will cross bridge by 830am. 45 minutes for traffic to pick up candles. Bridge will reopen no later than 9:30am.
36,Main Street at Devonshire Drive,traffic,East to Union St.,45.974748,-66.644237,38,,sun,2,y,y,y,n,n,10,5,0,1,0,0,0,0,0,0,1 TCP Truck Required. Close access to Union Street.  Drivers can use Devonshire Dr. as alternate. Access closed until all runners off the bridge and across to the Northside Trail.
37,Union Street and Douglas Avenue,traffic,Close access to eastbound on Union to Main. ,45.974085,-66.642037,38,,sun,2,n,n,n,n,n,10,5,0,1,0,0,0,0,0,0,"Close access to Union Street.  Access closed until all runners off the bridge. Drivers permitted to turn onto Main Street, heading West."
38,Union Street (End of Ramp),course,Direct Runners down Union to Friel Street,45.973346,-66.639741,,A3,sun,2,y,y,y,n,n,10,5,0,1,0,0,0,0,0,0,Close access to Union Street at Friel and Douglas and remains closed until all runners off the bridge.  Direct runners to head East on Union to be directed up Friel street.
39,Friel Street and Union Street,course,Runners crossing Union Street onto Friel St.,45.972996,-66.638679,,A3,sun,2,y,y,y,n,n,10,5,1,1,0,0,0,0,0,2,Stop traffic from crossing the trail while runners are there. Direct runners up Friel street to trail.
40,Trail at McKeen,course,East to Station Rd with runners crossing street on trail,45.972957,-66.635799,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Onsite 30-min prior to start. Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
41,Trail at Jaffery,course,East to Station Rd with runners crossing street on trail,45.972713,-66.635128,,F1,sun,2,y,y,y,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic in both directions while runners are crossing trail. First runners will be 10K. Last will be Marathon.
