event,runner_id,pace,distance,start_offset,day
Open,3059,5.55,5,28,sat
Open,3060,5.58,5,26,sat
Open,3061,5.52,5,49,sat
Open,3062,5.67,5,21,sat
Open,3063,5.67,5,22,sat
Open,3064,5.72,5,6,sat
Open,3065,5.72,5,7,sat
Open,3066,5.72,5,7,sat
Open,3067,5.73,5,6,sat
Open,3068,5.72,5,16,sat
Open,3069,5.58,5,53,sat
Open,3070,5.77,5,4,sat
Open,3071,5.78,5,14,sat
Open,3072,5.77,5,18,sat
Open,3073,5.7,5,44,sat
Open,3074,5.72,5,44,sat
Open,3075,5.82,5,18,sat
Open,3076,5.72,5,48,sat
Open,3077,5.85,5,13,sat
Open,3078,5.88,5,10,sat
Open,3079,5.85,5,23,sat
Open,3080,5.88,5,11,sat
Open,3081,5.88,5,11,sat
Open,3082,5.88,5,11,sat
Open,3083,5.8,5,37,sat
Open,3084,5.92,5,5,sat
Open,3085,5.88,5,15,sat
Open,3086,5.78,5,45,sat
Open,3087,5.8,5,45,sat
Open,3088,5.78,5,50,sat
Open,3089,5.88,5,24,sat
Open,3090,5.95,5,10,sat
Open,3091,5.8,5,54,sat
Open,3092,5.93,5,17,sat
Open,3093,5.85,5,45,sat
Open,3094,5.95,5,15,sat
Open,3095,5.88,5,33,sat
Open,3096,5.92,5,31,sat
Open,3097,6.0,5,11,sat
Open,3098,6.02,5,13,sat
Open,3099,6.03,5,15,sat
Open,3100,6.05,5,13,sat
Open,3101,5.97,5,38,sat
Open,3102,5.97,5,39,sat
Open,3103,6.03,5,20,sat
Open,3104,5.92,5,54,sat
Open,3105,6.05,5,19,sat
Open,3106,5.93,5,52,sat
Open,3107,6.03,5,24,sat
Open,3108,6.05,5,20,sat
Open,3109,6.1,5,8,sat
Open,3110,6.13,5,2,sat
Open,3111,6.0,5,51,sat
Open,3112,6.08,5,29,sat
Open,3113,6.08,5,32,sat
Open,3114,6.15,5,14,sat
Open,3115,6.08,5,39,sat
Open,3116,6.22,5,3,sat
Open,3117,6.22,5,3,sat
Open,3118,6.12,5,38,sat
Open,3119,6.18,5,21,sat
Open,3120,6.2,5,14,sat
Open,3121,6.17,5,26,sat
Open,3122,6.23,5,9,sat
Open,3123,6.12,5,47,sat
Open,3124,6.15,5,37,sat
Open,3125,6.22,5,19,sat
Open,3126,6.28,5,4,sat
Open,3127,6.3,5,4,sat
Open,3128,6.13,5,57,sat
Open,3129,6.17,5,46,sat
Open,3130,6.3,5,7,sat
Open,3131,6.3,5,9,sat
Open,3132,6.3,5,8,sat
Open,3133,6.25,5,24,sat
Open,3134,6.23,5,32,sat
Open,3135,6.18,5,46,sat
Open,3136,6.23,5,32,sat
Open,3137,6.23,5,35,sat
Open,3138,6.25,5,34,sat
Open,3139,6.22,5,41,sat
Open,3140,6.25,5,35,sat
Open,3141,6.23,5,40,sat
Open,3142,6.35,5,5,sat
Open,3143,6.35,5,10,sat
Open,3144,6.27,5,36,sat
Open,3145,6.22,5,54,sat
Open,3146,6.22,5,54,sat
Open,3147,6.37,5,11,sat
Open,3148,6.22,5,56,sat
Open,3149,6.28,5,36,sat
Open,3150,6.28,5,36,sat
Open,3151,6.28,5,36,sat
Open,3152,6.35,5,20,sat
Open,3153,6.23,5,53,sat
Open,3154,6.38,5,15,sat
Open,3155,6.4,5,13,sat
Open,3156,6.42,5,9,sat
Open,3157,6.37,5,27,sat
Open,3158,6.37,5,27,sat
Open,3159,6.45,5,7,sat
Open,3160,6.45,5,7,sat
Open,3161,6.38,5,28,sat
Open,3162,6.27,5,66,sat
Open,3163,6.27,5,65,sat
Open,3164,6.33,5,47,sat
Open,3165,6.47,5,10,sat
Open,3166,6.32,5,51,sat
Open,3167,6.35,5,47,sat
Open,3168,6.28,5,65,sat
Open,3169,6.47,5,13,sat
Open,3170,6.43,5,24,sat
Open,3171,6.43,5,23,sat
Open,3172,6.42,5,30,sat
Open,3173,6.38,5,45,sat
Open,3174,6.47,5,22,sat
Open,3175,6.52,5,9,sat
Open,3176,6.52,5,10,sat
Open,3177,6.37,5,54,sat
Open,3178,6.52,5,11,sat
Open,3179,6.53,5,9,sat
Open,3180,6.53,5,12,sat
Open,3181,6.52,5,16,sat
Open,3182,6.48,5,27,sat
Open,3183,6.4,5,55,sat
Open,3184,6.45,5,39,sat
Open,3185,6.45,5,39,sat
Open,3186,6.37,5,64,sat
Open,3187,6.37,5,64,sat
Open,3188,6.48,5,33,sat
Open,3189,6.57,5,16,sat
Open,3190,6.47,5,47,sat
Open,3191,6.48,5,44,sat
Open,3192,6.5,5,42,sat
Open,3193,6.55,5,29,sat
Open,3194,6.52,5,41,sat
Open,3195,6.52,5,42,sat
Open,3196,6.48,5,50,sat
Open,3197,6.6,5,18,sat
Open,3198,6.63,5,13,sat
Open,3199,6.55,5,40,sat
Open,3200,6.55,5,40,sat
Open,3201,6.55,5,40,sat
Open,3202,6.62,5,19,sat
Open,3203,6.53,5,47,sat
Open,3204,6.53,5,48,sat
Open,3205,6.67,5,12,sat
Open,3206,6.48,5,66,sat
Open,3207,6.48,5,66,sat
Open,3208,6.6,5,36,sat
Open,3209,6.68,5,16,sat
Open,3210,6.58,5,51,sat
Open,3211,6.63,5,33,sat
Open,3212,6.63,5,33,sat
Open,3213,6.7,5,17,sat
Open,3214,6.62,5,47,sat
Open,3215,6.7,5,22,sat
Open,3216,6.62,5,56,sat
Open,3217,6.72,5,29,sat
Open,3218,6.73,5,25,sat
Open,3219,6.65,5,58,sat
Open,3220,6.67,5,50,sat
Open,3221,6.77,5,27,sat
Open,3222,6.65,5,76,sat
Open,3223,6.65,5,75,sat
Open,3224,6.8,5,28,sat
Open,3225,6.78,5,34,sat
Open,3226,6.82,5,26,sat
Open,3227,6.77,5,47,sat
Open,3228,6.78,5,42,sat
Open,3229,6.78,5,44,sat
Open,3230,6.8,5,36,sat
Open,3231,6.92,5,6,sat
Open,3232,6.8,5,44,sat
Open,3233,6.97,5,5,sat
Open,3234,6.97,5,5,sat
Open,3235,6.77,5,63,sat
Open,3236,6.97,5,9,sat
Open,3237,6.97,5,9,sat
Open,3238,6.97,5,9,sat
Open,3239,6.9,5,29,sat
Open,3240,6.9,5,29,sat
Open,3241,6.83,5,51,sat
Open,3242,6.98,5,11,sat
Open,3243,6.98,5,11,sat
Open,3244,6.98,5,14,sat
Open,3245,6.97,5,17,sat
Open,3246,6.9,5,38,sat
Open,3247,6.97,5,22,sat
Open,3248,7.0,5,13,sat
Open,3249,6.95,5,26,sat
Open,3250,6.98,5,22,sat
Open,3251,6.88,5,50,sat
Open,3252,7.0,5,17,sat
Open,3253,7.02,5,17,sat
Open,3254,7.0,5,27,sat
Open,3255,6.98,5,34,sat
Open,3256,6.95,5,46,sat
Open,3257,6.97,5,39,sat
Open,3258,6.95,5,45,sat
Open,3259,7.08,5,6,sat
Open,3260,6.98,5,42,sat
Open,3261,6.98,5,43,sat
Open,3262,7.02,5,35,sat
Open,3263,7.03,5,27,sat
Open,3264,6.98,5,48,sat
Open,3265,7.07,5,24,sat
Open,3266,7.07,5,25,sat
Open,3267,7.1,5,18,sat
Open,3268,7.12,5,17,sat
Open,3269,7.1,5,21,sat
Open,3270,7.1,5,27,sat
Open,3271,7.12,5,28,sat
Open,3272,6.98,5,66,sat
Open,3273,7.15,5,16,sat
Open,3274,7.02,5,61,sat
Open,3275,7.17,5,21,sat
Open,3276,7.25,5,0,sat
Open,3277,7.1,5,44,sat
Open,3278,7.18,5,20,sat
Open,3279,7.15,5,34,sat
Open,3280,7.22,5,22,sat
Open,3281,7.22,5,23,sat
Open,3282,7.23,5,20,sat
Open,3283,7.12,5,54,sat
Open,3284,7.12,5,56,sat
Open,3285,7.15,5,45,sat
Open,3286,7.17,5,44,sat
Open,3287,7.15,5,46,sat
Open,3288,7.15,5,46,sat
Open,3289,7.15,5,49,sat
Open,3290,7.2,5,35,sat
Open,3291,7.18,5,40,sat
Open,3292,7.2,5,36,sat
Open,3293,7.27,5,18,sat
Open,3294,7.17,5,53,sat
Open,3295,7.3,5,14,sat
Open,3296,7.3,5,14,sat
Open,3297,7.17,5,52,sat
Open,3298,7.22,5,40,sat
Open,3299,7.35,5,5,sat
Open,3300,7.25,5,34,sat
Open,3301,7.33,5,12,sat
Open,3302,7.18,5,61,sat
Open,3303,7.32,5,24,sat
Open,3304,7.2,5,60,sat
Open,3305,7.28,5,33,sat
Open,3306,7.27,5,39,sat
Open,3307,7.35,5,16,sat
Open,3308,7.35,5,16,sat
Open,3309,7.28,5,38,sat
Open,3310,7.35,5,16,sat
Open,3311,7.38,5,15,sat
Open,3312,7.38,5,16,sat
Open,3313,7.38,5,15,sat
Open,3314,7.32,5,37,sat
Open,3315,7.25,5,60,sat
Open,3316,7.27,5,58,sat
