seg_id,seg_label,event_a,event_b,from_km_a,to_km_a,from_km_b,to_km_b,flow_type,prior_seg_id,notes
I2,Greenwood Dr (Watters) to Greenwood (2nd Crossing),half,full,5.71,6.91,23.97,25.17,counterflow,,"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. "
I3,Greenwood (2nd Crossing) to Water Stop,half,full,6.91,7.92,25.17,26.18,counterflow,,"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. "
I4,Gibson Trail Water Stop to McGloin,half,full,7.92,10.29,26.18,28.55,counterflow,,"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. "
I5,McGloing to Bridge/Mill,half,full,10.29,10.75,28.55,29.01,counterflow,,"On Trail (3.0m, two lanes) Full/Half runners from Station/Rd. on to the Gibson Trail to Marysville. "
J1,Bridge/Mill to Half Turn (Half + Full co-direction),half,full,10.75,13.43,29.01,31.64,counterflow,,On Trial (1.5m lane) Half to Half Turn. Will continue to Full Turn. Shared with Half.
J2,Half Turn to Full Turn (Full outbound spur),full,full,31.64,33.11,31.64,33.11,none,,On Trail (1.5m lane) Full outbound to Full Turn.
J3,Full Turn to Half Turn (Full returning spur),full,full,33.11,34.34,33.11,34.34,none,,On Trail (1.5m lane) Full returning from Full Turn to Half Turn.
J4,Half Turn to Bridge/Mill (Half + Full co-direction return),half,full,13.43,16.02,34.34,36.93,counterflow,,On Trail (1.5m lane) from Half Turn to Bridge/Mill. Full & Half
J5,Half Turn to Bridge/Mill (Slow Half / Fast Full),full,half,34.34,36.93,10.75,13.43,counterflow,,On Trail (1.5m lane) with Slow Half meeting Fast Full on Bridge/Mill to Half Turn.
K1,Bridge/Mill to Kaine Street,full,half,37.12,37.82,16.02,16.72,overtake,,"On Trail (3.0m, two lanes), with Full/Half returning from Marysville to Station Rd."
K2,Kaine to Gilbert,full,half,37.82,38.42,16.72,17.32,overtake,,"On Trail (3.0m, two lanes), with Full/Half returning from Marysville to Station Rd."
K3,Gilbert ot Canada St,full,half,38.42,39.07,17.32,17.97,overtake,,"On Trail (3.0m, two lanes), with Full/Half returning from Marysville to Station Rd."
K4,Canada St to Station/Barker,full,half,39.07,40.57,17.97,19.47,overtake,,"On Trail (3.0m, two lanes), with Full/Half returning from Marysville to Station Rd."
L1a,Station Rd. to Trail/Aberdeen,10k,half,8.1,9.75,19.2,20.85,merge,,On Trail (1.5m lane) with this segment having runners from all events.
L1b,Station Rd. to Trail/Aberdeen,10k,full,8.1,9.75,18.65,20.3,merge,M1a,On Trail (1.5m lane) with this segment having runners from all events.
L1c,Station Rd. to Trail/Aberdeen,half,full,19.2,20.85,18.65,20.3,overtake,M1a,On Trail (1.5m lane) with this segment having runners from all events.
L2,Station Rd. to Trail/Aberdeen,full,full,40.57,41.95,40.57,41.95,counterflow,M1a,On Trail (1.5m lane) with the Full only on their final leg to Finish.
M2a,Trail/Aberdeen to Finish,10k,half,9.75,10,20.85,21.1,none,,Aberdeen Street to Finish
M2b,Trail/Aberdeen to Finish (Full QS Loop),10k,full,9.75,10,20.3,20.55,none,M2a,Aberdeen Street to Finish
M2c,Trail/Aberdeen to Finish (Full QS Loop),half,full,20.85,21.1,20.3,20.55,none,M2a,Aberdeen Street to Finish
M2d,Trail/Aberdeen to Finish,full,full,41.95,42.2,41.95,42.2,none,M2a,Aberdeen Street to Finish
N1,Start to Queen/Westmorland,elite,elite,0,0.57,0,0.57,overtake,,Start to Queen/Westmorland
N2,Queen/Westmorland to PSAB/WSB,elite,elite,0.57,1.45,0.57,1.45,overtake,N1,Queen/Westmorland to PSAB/WSB
N3,PSAB/WSB to 104th Bridge,elite,elite,1.45,1.88,1.45,1.88,overtake,N2,PSAB/WSB to 104th Bridge
N4,104th to Queen/York,elite,elite,1.88,2.58,1.88,2.58,overtake,N3,104th to Queen/York
N5,Queen/York to Queen at PSAB,elite,elite,2.58,3.15,2.58,3.15,overtake,N4,Queen/York to Queen at PSAB
N6,Queen at PSAB to PSAB/WSB,elite,elite,3.15,3.68,3.15,3.68,overtake,N5,Queen at PSAB to PSAB/WSB
N7,PSAB/WSB to 104th Bridge,elite,elite,3.68,4.11,3.68,4.11,overtake,N6,PSAB/WSB to 104th Bridge
N8,104th to Queen/York,elite,elite,4.11,4.81,4.11,4.81,overtake,N7,104th to Queen/York
N9,Queen/York to Finish,elite,elite,4.81,5,4.81,5,overtake,N8,Queen/York to Finish
O1,Start to Queen/Westmorland,open,open,0,0.57,0,0.57,overtake,,Start to Queen/Westmorland
O2,Queen/Westmorland to PSAB/WSB,open,open,0.57,1.45,0.57,1.45,overtake,O1,Queen/Westmorland to PSAB/WSB
O3,PSAB/WSB to 104th Bridge,open,open,1.45,1.88,1.45,1.88,overtake,O2,PSAB/WSB to 104th Bridge
O4,104th to Queen/York,open,open,1.88,2.58,1.88,2.58,overtake,O3,104th to Queen/York
O5,Queen/York to Queen at PSAB,open,open,2.58,3.15,2.58,3.15,overtake,O4,Queen/York to Queen at PSAB
O6,Queen at PSAB to PSAB/WSB,open,open,3.15,3.68,3.15,3.68,overtake,O5,Queen at PSAB to PSAB/WSB
O7,PSAB/WSB to 104th Bridge,open,open,3.68,4.11,3.68,4.11,overtake,O6,PSAB/WSB to 104th Bridge
O8,104th to Queen/York,open,open,4.11,4.81,4.11,4.81,overtake,O7,104th to Queen/York
O9,Queen/York to Finish,open,open,4.81,5,4.81,5,overtake,O8,Queen/York to Finish
N5a,Queen/York to Queen at PSAB,elite,elite,2.58,3.15,0,0.57,overtake,N4,Queen/York to Queen at PSAB (Lap 2 overtake Lap 1)
N6a,Queen at PSAB to PSAB/WSB,elite,elite,3.15,3.68,0.57,1.45,overtake,N5,Queen at PSAB to PSAB/WSB (Lap 2 overtake Lap 1)
N7a,PSAB/WSB to 104th Bridge,elite,elite,3.68,4.11,1.45,1.88,overtake,N6,PSAB/WSB to 104th Bridge (Lap 2 overtake Lap 1)
N8a,104th to Queen/York,elite,elite,4.11,4.81,1.88,2.58,overtake,N7,104th to Queen/York (Lap 2 overtake Lap 1)
O5a,Queen/York to Queen at PSAB,open,open,2.58,3.15,0,0.57,overtake,O4,Queen/York to Queen at PSAB (Lap 2 overtake Lap 1)
O6a,Queen at PSAB to PSAB/WSB,open,open,3.15,3.68,0.57,1.45,overtake,O5,Queen at PSAB to PSAB/WSB (Lap 2 overtake Lap 1)
O7a,PSAB/WSB to 104th Bridge,open,open,3.68,4.11,1.45,1.88,overtake,O6,PSAB/WSB to 104th Bridge (Lap 2 overtake Lap 1)
O8a,104th to Queen/York,open,open,4.11,4.81,1.88,2.58,overtake,O7,104th to Queen/York (Lap 2 overtake Lap 1)
