event,runner_id,pace,distance,start_offset
Full,2713,5.416666667,42.2,28
Full,2714,5.433333333,42.2,21
Full,2715,5.433333333,42.2,21
Full,2716,5.433333333,42.2,23
Full,2717,5.433333333,42.2,31
Full,2718,5.45,42.2,28
Full,2719,5.433333333,42.2,84
Full,2720,5.466666667,42.2,25
Full,2721,5.466666667,42.2,18
Full,2722,5.483333333,42.2,39
Full,2723,5.483333333,42.2,49
Full,2724,5.5,42.2,24
Full,2725,5.5,42.2,18
Full,2726,5.516666667,42.2,11
Full,2727,5.5,42.2,74
Full,2728,5.516666667,42.2,43
Full,2729,5.55,42.2,48
Full,2730,5.55,42.2,48
Full,2731,5.566666667,42.2,42
Full,2732,5.566666667,42.2,31
Full,2733,5.566666667,42.2,37
Full,2734,5.55,42.2,73
Full,2735,5.566666667,42.2,28
Full,2736,5.583333333,42.2,16
Full,2737,5.583333333,42.2,23
Full,2738,5.583333333,42.2,37
Full,2739,5.583333333,42.2,36
Full,2740,5.583333333,42.2,50
Full,2741,5.6,42.2,26
Full,2742,5.6,42.2,33
Full,2743,5.6,42.2,42
Full,2744,5.583333333,42.2,60
Full,2745,5.6,42.2,47
Full,2746,5.6,42.2,40
Full,2747,5.616666667,42.2,12
Full,2748,5.616666667,42.2,36
Full,2749,5.616666667,42.2,45
Full,2750,5.633333333,42.2,19
Full,2751,5.633333333,42.2,40
Full,2752,5.616666667,42.2,74
Full,2753,5.65,42.2,24
Full,2754,5.666666667,42.2,27
Full,2755,5.666666667,42.2,28
Full,2756,5.65,42.2,34
Full,2757,5.633333333,42.2,89
Full,2758,5.666666667,42.2,30
Full,2759,5.683333333,42.2,20
Full,2760,5.683333333,42.2,31
Full,2761,5.683333333,42.2,47
Full,2762,5.683333333,42.2,43
Full,2763,5.683333333,42.2,43
Full,2764,5.7,42.2,48
Full,2765,5.716666667,42.2,109
Full,2766,5.766666667,42.2,39
Full,2767,5.75,42.2,72
Full,2768,5.783333333,42.2,47
Full,2769,5.8,42.2,19
Full,2770,5.816666667,42.2,33
Full,2771,5.816666667,42.2,47
Full,2772,5.816666667,42.2,54
Full,2773,5.816666667,42.2,51
Full,2774,5.816666667,42.2,47
Full,2775,5.816666667,42.2,69
Full,2776,5.833333333,42.2,37
Full,2777,5.85,42.2,31
Full,2778,5.883333333,42.2,38
Full,2779,5.9,42.2,35
Full,2780,5.9,42.2,58
Full,2781,5.9,42.2,64
Full,2782,5.933333333,42.2,37
Full,2783,5.933333333,42.2,71
Full,2784,5.966666667,42.2,14
Full,2785,5.966666667,42.2,36
Full,2786,5.966666667,42.2,24
Full,2787,5.983333333,42.2,35
Full,2788,5.983333333,42.2,36
Full,2789,5.983333333,42.2,36
Full,2790,5.983333333,42.2,49
Full,2791,6,42.2,33
Full,2792,6,42.2,36
Full,2793,5.983333333,42.2,56
Full,2794,6.016666667,42.2,22
Full,2795,6,42.2,49
Full,2796,6,42.2,63
