seg_id,segment_label,event_a,event_b,total_a,total_b,flow_type,from_km_a,to_km_a,from_km_b,to_km_b,width_m,overtaking_a,overtaking_b,sample_a,sample_b,pct_a,pct_b,copresence_a,copresence_b,unique_encounters,participants_involved,spatial_zone_exists,temporal_overlap_exists,true_pass_exists,has_convergence_policy,has_convergence,convergence_zone_start,convergence_zone_end,no_pass_reason_code,conflict_length_m,analysis_timestamp,app_version,environment,data_source,start_times,min_overlap_duration,conflict_length_m
H1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
I1,Station Rd to Bridge/Mill,Full,Half,368,912,counterflow,23.26,29.01,5.0,10.75,3.0,42,9,"2531, 2533, 2537, ... (10 total)","2521, 2522, 2523, ... (9 total)",11.4,1.0,42,9,335,51,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J1,Bridge/Mill to Half Turn (Outbound),Full,Half,368,912,counterflow,29.01,31.64,10.75,13.43,1.5,147,209,"2548, 2580, 2598, ... (10 total)","2328, 2330, 2348, ... (10 total)",39.9,22.9,147,209,2041,356,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J4,Half Turn to Bridge/Mill,Full,Half,368,912,counterflow,34.34,36.93,13.43,16.02,1.5,130,170,"2530, 2532, 2535, ... (10 total)","2348, 2360, 2364, ... (10 total)",35.3,18.6,130,170,1355,300,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
J5,Half Turn to Bridge/Mill (Slow Half),Full,Half,368,912,counterflow,34.34,36.93,10.75,13.43,1.5,45,24,"2531, 2533, 2534, ... (10 total)","2505, 2506, 2509, ... (10 total)",12.2,2.6,45,24,203,69,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
K1,Bridge/Mill to Station Rd,Full,Half,368,912,counterflow,37.12,40.57,16.02,19.47,3.0,180,244,"2548, 2622, 2623, ... (10 total)","2280, 2286, 2288, ... (10 total)",48.9,26.8,180,244,3105,424,True,True,True,True,True,0.0,0.05,,200.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,Half,368,912,counterflow,18.65,20.3,19.2,20.85,1.5,0,0,,,0.0,0.0,0,0,3321,0,True,False,False,False,False,0.28,0.38,SPATIAL_ONLY_NO_TEMPORAL,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Full,10K,368,618,counterflow,18.65,20.3,8.1,9.75,1.5,206,217,"2548, 2598, 2622, ... (10 total)","1391, 1411, 1430, ... (10 total)",56.0,35.1,206,217,1849,423,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
L1,Trail/Aberdeen to/from Station Rd,Half,10K,912,618,counterflow,19.2,20.85,8.1,9.75,1.5,11,10,"1620, 1621, 1622, ... (10 total)","1606, 1607, 1610, ... (10 total)",1.2,1.6,11,10,55,21,True,True,True,True,True,0.0,0.05,,150.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,Half,368,912,overtake,20.3,20.55,20.85,21.1,3.0,66,96,"2748, 2802, 2806, ... (10 total)","1639, 1665, 1697, ... (10 total)",17.9,10.5,66,96,468,162,True,True,True,True,True,0.0,0.2,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Full,10K,368,618,overtake,20.3,20.55,9.75,10.0,3.0,124,141,"2530, 2535, 2548, ... (10 total)","1366, 1386, 1391, ... (10 total)",33.7,22.8,124,141,751,265,True,True,True,True,True,0.0,0.2,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
M1,Trail/Aberdeen to Finish (Full to Loop),Half,10K,912,618,overtake,20.85,21.1,9.75,10.0,3.0,17,12,"1628, 1632, 1633, ... (10 total)","1598, 1602, 1603, ... (10 total)",1.9,1.9,17,12,55,29,True,True,True,True,True,0.0,0.2,,100.0,2025-09-12 16:47:40,v1.6.15,local,"runners.csv, segments.csv","Full:420, 10K:440, Half:460",5.0,100.0
